マジックミサイル,1345,1345,8000,名詞,一般,*,*,*,*,マジックミサイル,マジックミサイル,マジックミサイル,*/*,*
霊符「夢想封印」,1345,1345,8000,名詞,一般,*,*,*,*,霊符「夢想封印」,ムソウフウイン,ムソウフウイン,*/*,*
夢符「封魔陣」,1345,1345,8000,名詞,一般,*,*,*,*,夢符「封魔陣」,フウマジン,フウマジン,*/*,*
夢想封印,1345,1345,8000,名詞,一般,*,*,*,*,夢想封印,ムソウフウイン,ムソウフウイン,*/*,*
封魔陣,1345,1345,8000,名詞,一般,*,*,*,*,封魔陣,フウマジン,フウマジン,*/*,*
華符「芳華絢爛」,1345,1345,8000,名詞,一般,*,*,*,*,華符「芳華絢爛」,ホウカケンラン,ホウカケンラン,*/*,*
華符「セラギネラ９」,1345,1345,8000,名詞,一般,*,*,*,*,華符「セラギネラ９」,セラギネラキュウ,セラギネラキュウ,*/*,*
虹符「彩虹の風鈴」,1345,1345,8000,名詞,一般,*,*,*,*,虹符「彩虹の風鈴」,サイコウノフウリン,サイコウノフウリン,*/*,*
幻符「華想夢葛」,1345,1345,8000,名詞,一般,*,*,*,*,幻符「華想夢葛」,カソウユメカズラ,カソウユメカズラ,*/*,*
彩符「彩雨」,1345,1345,8000,名詞,一般,*,*,*,*,彩符「彩雨」,サイウ,サイウ,*/*,*
彩符「彩光乱舞」,1345,1345,8000,名詞,一般,*,*,*,*,彩符「彩光乱舞」,サイコウランブ,サイコウランブ,*/*,*
彩符「極彩颱風」,1345,1345,8000,名詞,一般,*,*,*,*,彩符「極彩颱風」,ゴクサイタイフウ,ゴクサイタイフウ,*/*,*
火符「アグニシャイン」,1345,1345,8000,名詞,一般,*,*,*,*,火符「アグニシャイン」,アグニシャイン,アグニシャイン,*/*,*
水符「プリンセスウンディネ」,1345,1345,8000,名詞,一般,*,*,*,*,水符「プリンセスウンディネ」,プリンセスウンディネ,プリンセスウンディネ,*/*,*
木符「シルフィホルン」,1345,1345,8000,名詞,一般,*,*,*,*,木符「シルフィホルン」,シルフィホルン,シルフィホルン,*/*,*
土符「レイジィトリリトン」,1345,1345,8000,名詞,一般,*,*,*,*,土符「レイジィトリリトン」,レイジィトリリトン,レイジィトリリトン,*/*,*
火符「アグニシャイン上級」,1345,1345,8000,名詞,一般,*,*,*,*,火符「アグニシャイン上級」,アグニシャイン,アグニシャイン,*/*,*
木符「シルフィホルン上級」,1345,1345,8000,名詞,一般,*,*,*,*,木符「シルフィホルン上級」,シルフィホルン,シルフィホルン,*/*,*
土符「レイジィトリリトン上級」,1345,1345,8000,名詞,一般,*,*,*,*,土符「レイジィトリリトン上級」,レイジィトリリトン,レイジィトリリトン,*/*,*
火符「アグニレイディアンス」,1345,1345,8000,名詞,一般,*,*,*,*,火符「アグニレイディアンス」,アグニレイディアンス,アグニレイディアンス,*/*,*
土符「トリリトンシェイク」,1345,1345,8000,名詞,一般,*,*,*,*,土符「トリリトンシェイク」,トリリトンシェイク,トリリトンシェイク,*/*,*
木＆火符「フォレストブレイズ」,1345,1345,8000,名詞,一般,*,*,*,*,木＆火符「フォレストブレイズ」,フォレストブレイズ,フォレストブレイズ,*/*,*
土＆金符「エメラルドメガリス」,1345,1345,8000,名詞,一般,*,*,*,*,土＆金符「エメラルドメガリス」,エメラルドメガリス,エメラルドメガリス,*/*,*
奇術「ミスディレクション」,1345,1345,8000,名詞,一般,*,*,*,*,奇術「ミスディレクション」,ミスディレクション,ミスディレクション,*/*,*
奇術「幻惑ミスディレクション」,1345,1345,8000,名詞,一般,*,*,*,*,奇術「幻惑ミスディレクション」,ゲンワクミスディレクション,ゲンワクミスディレクション,*/*,*
幻象「ルナクロック」,1345,1345,8000,名詞,一般,*,*,*,*,幻象「ルナクロック」,ルナクロック,ルナクロック,*/*,*
幻幽「ジャック・ザ・ルドビレ」,1345,1345,8000,名詞,一般,*,*,*,*,幻幽「ジャック・ザ・ルドビレ」,ジャックザルドビレ,ジャックザルドビレ,*/*,*
冥符「紅色の冥界」,1345,1345,8000,名詞,一般,*,*,*,*,冥符「紅色の冥界」,アカイロノメイカイ,アカイロノメイカイ,*/*,*
呪詛「ブラド・ツェペシュの呪い」,1345,1345,8000,名詞,一般,*,*,*,*,呪詛「ブラド・ツェペシュの呪い」,ブラドツェペシュノノロイ,ブラドツェペシュノノロイ,*/*,*
「レッドマジック」,1345,1345,8000,名詞,一般,*,*,*,*,「レッドマジック」,レッドマジック,レッドマジック,*/*,*
獄符「千本の針の山」,1345,1345,8000,名詞,一般,*,*,*,*,獄符「千本の針の山」,センボンノハリノヤマ,センボンノハリノヤマ,*/*,*
